id,tytul,cena,cena_poprzednia,lokalizacja,data_dodania,url,status
77,Iphone 14 128 GB,900.0,,"Łódź, Śródmieście",12-05-2026,https://www.olx.pl/d/oferta/iphone-14-128-gb-CID99-ID1aBliU.html?search_reason=search%7Corganic,nowe
78,iPhone 14 kondycja 100%,1150.0,,Świdwin,06-05-2026,https://www.olx.pl/d/oferta/iphone-14-kondycja-100-CID99-ID1awNFC.html?search_reason=search%7Corganic,nowe
79,IPhone 14 Pro jak NOWY  Okazja,1650.0,,Kalisz,14-04-2026,https://www.olx.pl/d/oferta/iphone-14-pro-jak-nowy-okazja-CID99-ID19LoPB.html?search_reason=search%7Corganic,nowe
80,Iphone 14 biały !,1200.0,,Kalisz,12-05-2026,https://www.olx.pl/d/oferta/iphone-14-bialy-CID99-ID18SBPs.html?search_reason=search%7Corganic,nowe
81,IPhone 14 256GB 81%,1100.0,,Racibórz,12-05-2026,https://www.olx.pl/d/oferta/iphone-14-256gb-81-CID99-ID1aBrwT.html?search_reason=search%7Corganic,nowe
82,iPhone 14 niebieski,1100.0,,Oświęcim,21-04-2026,https://www.olx.pl/d/oferta/iphone-14-niebieski-CID99-ID1ajs5T.html?search_reason=search%7Corganic,nowe
83,iPhone 14 Pro Max 1TB Silver fabr. NOWY plomba FV23% szybka dostawa,3300.0,,"Łódź, Polesie",12-05-2026,https://www.olx.pl/d/oferta/iphone-14-pro-max-1tb-silver-fabr-nowy-plomba-fv23-szybka-dostawa-CID99-ID18WJjd.html?search_reason=search%7Corganic,nowe
84,iPhone 14 Pro - SUPER STAN,1500.0,,"Warszawa, Wola",12-05-2026,https://www.olx.pl/d/oferta/iphone-14-pro-super-stan-CID99-ID19Wz0o.html?search_reason=search%7Corganic,nowe
85,Iphone 14 - 128GB - Stan Bdb - 100% oryginalny + Gratisy,900.0,,Rzeszów,09-05-2026,https://www.olx.pl/d/oferta/iphone-14-128gb-stan-bdb-100-oryginalny-gratisy-CID99-ID1ayEZM.html?search_reason=search%7Corganic,nowe
86,JAK NOWY | IPHONE 14 PLUS 128GB | 2 lata gwarancji! | Różne kolory,1499.0,,Kielce,08-05-2026,https://www.olx.pl/d/oferta/jak-nowy-iphone-14-plus-128gb-2-lata-gwarancji-rozne-kolory-CID99-ID1ay7rV.html?search_reason=search%7Cpromoted,nowe
87,IPHONE 14 PLUS 256GB | Gwarancja 2 lata | Bat: 86%,1899.0,,"Łódź, Śródmieście",11-05-2026,https://www.olx.pl/d/oferta/iphone-14-plus-256gb-gwarancja-2-lata-bat-86-CID99-ID19Yrnk.html?search_reason=search%7Cpromoted,nowe
88,Iphone Xs 256gb | ios 14 unikat | jak nowy,550.0,,"Gliwice, Szobiszowice",09-05-2026,https://www.olx.pl/d/oferta/iphone-xs-256gb-ios-14-unikat-jak-nowy-CID99-ID1ayPK3.html?search_reason=search%7Cpromoted,nowe
89,iPhone 14 Plus 256gb bateria 82% Midnight,1200.0,,Zielona Góra,12-05-2026,https://www.olx.pl/d/oferta/iphone-14-plus-256gb-bateria-82-midnight-CID99-ID1aBxZN.html?search_reason=search%7Corganic,nowe
90,Iphone 14 uzywany,1000.0,,Czarnków,30-04-2026,https://www.olx.pl/d/oferta/iphone-14-uzywany-CID99-ID1arx8i.html?search_reason=search%7Corganic,nowe
91,iPhone 14 128GB,1200.0,,Świdnica,28-04-2026,https://www.olx.pl/d/oferta/iphone-14-128gb-CID99-ID197Hfl.html?search_reason=search%7Corganic,nowe
92,iPhone 14 pro max 512 GB fioletowy,1950.0,,"Warszawa, Żoliborz",12-05-2026,https://www.olx.pl/d/oferta/iphone-14-pro-max-512-gb-fioletowy-CID99-ID1a6G5D.html?search_reason=search%7Corganic,nowe
93,Iphone 14 Plus 128gb 84%,1200.0,,Knurów,12-05-2026,https://www.olx.pl/d/oferta/iphone-14-plus-128gb-84-CID99-ID1aw0Mg.html?search_reason=search%7Corganic,nowe
94,Iphone 14 256 Gb,1300.0,,"Warszawa, Rembertów",22-04-2026,https://www.olx.pl/d/oferta/iphone-14-256-gb-CID99-ID1ah4uN.html?search_reason=search%7Corganic,nowe
95,IPHONE 14 128GB | 2 lata gwarancji! | BAT 100% | Raty 0%,1449.0,,"Wrocław, Stare Miasto",11-05-2026,https://www.olx.pl/d/oferta/iphone-14-128gb-2-lata-gwarancji-bat-100-raty-0-CID99-ID1aoskA.html?search_reason=search%7Corganic,nowe
96,etui na iphone 14,199.0,,Tarnów,07-05-2026,https://www.olx.pl/d/oferta/etui-na-iphone-14-CID99-ID1axwp6.html?search_reason=search%7Corganic,nowe
97,Iphone 14 Plus DOBRY STAN,1050.0,,"Warszawa, Praga-Południe",12-05-2026,https://www.olx.pl/d/oferta/iphone-14-plus-dobry-stan-CID99-ID1aB27I.html?search_reason=search%7Corganic,nowe
98,IPHONE 14 PRO MAX 128GB | 2 lata gwarancji! | BAT 87%,2099.0,,"Katowice, Śródmieście",28-04-2026,https://www.olx.pl/d/oferta/iphone-14-pro-max-128gb-2-lata-gwarancji-bat-87-CID99-ID1adcZU.html?search_reason=search%7Cpromoted,nowe
99,SUPER Apple iPhone 14 128GB KOLORY Gwarancja 12miesięcy Kraków Starowiślna 50 SmartSfera,1297.0,,"Kraków, Stare Miasto",12-05-2026,https://www.olx.pl/d/oferta/super-apple-iphone-14-128gb-kolory-gwarancja-12miesiecy-krakow-starowislna-50-smartsfera-CID99-ID16LlG8.html?search_reason=search%7Cpromoted,nowe
100,Iphone 14 128 GB 84%  Stan Bardzo dobry,1200.0,,Łomża,12-05-2026,https://www.olx.pl/d/oferta/iphone-14-128-gb-84-stan-bardzo-dobry-CID99-ID1aAPJ9.html?search_reason=search%7Cpromoted,nowe
101,Iphone 14 bateria 85% 5 etui szklo,1200.0,,Zawadzkie,11-05-2026,https://www.olx.pl/d/oferta/iphone-14-bateria-85-5-etui-szklo-CID99-ID1aAAOT.html?search_reason=search%7Corganic,nowe
102,Iphone 14 pro max,,,Zielona Góra,12-05-2026,https://www.olx.pl/d/oferta/iphone-14-pro-max-CID99-ID1ab61L.html?search_reason=search%7Corganic,nowe
103,iPhone 14 256GB kondycja 83%,1300.0,,"Gdańsk, Przymorze Wielkie",12-05-2026,https://www.olx.pl/d/oferta/iphone-14-256gb-kondycja-83-CID99-ID1aBsJo.html?search_reason=search%7Corganic,nowe
104,Iphone 14 Pro 128gb Biały Srebrny,1649.0,,Wałbrzych,11-05-2026,https://www.olx.pl/d/oferta/iphone-14-pro-128gb-bialy-srebrny-CID99-ID1aAEGf.html?search_reason=search%7Corganic,nowe
105,Idealny Iphone 14 White 128 GB,1250.0,,Mielec,22-04-2026,https://www.olx.pl/d/oferta/idealny-iphone-14-white-128-gb-CID99-ID1ajYgX.html?search_reason=search%7Corganic,nowe
106,iPhone 14 256 GB Biały,1150.0,,Kielce,09-05-2026,https://www.olx.pl/d/oferta/iphone-14-256-gb-bialy-CID99-ID1ayMqu.html?search_reason=search%7Corganic,nowe
107,Iphone 14 | 128GB | 86%,1000.0,,"Warszawa, Targówek",11-05-2026,https://www.olx.pl/d/oferta/iphone-14-128gb-86-CID99-ID1aAFTS.html?search_reason=search%7Corganic,nowe
108,IPhone 14 pro MAX Jak Nowy !!!,2100.0,,Radzionków,12-05-2026,https://www.olx.pl/d/oferta/iphone-14-pro-max-jak-nowy-CID99-ID1aje7j.html?search_reason=search%7Corganic,nowe
